LUMOS KOPI SUSU SIGNATURE,,,,,,,
LUMOS KOPI SUSU SIGNATURE,,,,,,,
LUMOS KOPI SUSU SIGNATURE,,,,,,,
CAFE LATTE HOT,,,,,,,
KOREAN GARLIC BREAD,CHOCO LATTE,,,,,,
LUMOS KOPI SUSU SIGNATURE,,,,,,,
COOKIES AND CREAM LATTE,LUMOS KOPI SUSU SIGNATURE,,,,,,
COOKIES AND CREAM LATTE,LUMOS KOPI SUSU SIGNATURE,,,,,,
CARAMEL MACCHIATO,,,,,,,
LUMOS KOPI SUSU SIGNATURE,,,,,,,
LUMOS KOPI SUSU SIGNATURE,,,,,,,
LYCHEE YAKULT,LUMOS KOPI SUSU SIGNATURE,,,,,,
LYCHEE YAKULT,GREENTEA MATCHA LATTE,CARAMEL LATTE ICE,LUMOS KOPI SUSU SIGNATURE,,,,
THAI TEA,CAPPUCINO ICE,,,,,,
LUMOS KOPI SUSU SIGNATURE,,,,,,,
GREENTEA MATCHA LATTE,,,,,,,
CARAMEL LATTE ICE,MANUAL BREW JAPANESE ICE DRIP,CAPPUCINO HOT,OKINAWA BROWN SUGAR BOBA MILK,,,,
KOREAN GARLIC BREAD,BANANA LATTE,,,,,,
KOREAN GARLIC BREAD,,,,,,,
AVOCADO PRESSO,CAFE LATTE HOT,,,,,,
LEKKER HOLAND,,,,,,,
LEKKER HOLAND,CAPPUCINO ICE,OKINAWA BROWN SUGAR BOBA MILK,,,,,
OKINAWA BROWN SUGAR BOBA MILK,LUMOS KOPI SUSU SIGNATURE,,,,,,
LUMOS KOPI SUSU SIGNATURE,,,,,,,
LUMOS KOPI SUSU SIGNATURE,REDVELVET LATTE,,,,,,
GREENTEA MATCHA LATTE,LUMOS KOPI SUSU SIGNATURE,CHOCO LATTE,,,,,
LUMOS KOPI SUSU SIGNATURE,,,,,,,
LUMOS KOPI SUSU SIGNATURE,,,,,,,
LUMOS KOPI SUSU SIGNATURE,CAPPUCINO HOT,,,,,,
KOREAN GARLIC BREAD,LUMOS KOPI SUSU SIGNATURE,GREENTEA MATCHA LATTE,,,,,
LUMOS KOPI SUSU SIGNATURE,,,,,,,
KLEPON LATTE,,,,,,,
MANUAL BREW V60,,,,,,,
KLEPON LATTE,LUMOS KOPI SUSU SIGNATURE,,,,,,
LUMOS KOPI SUSU SIGNATURE,,,,,,,
ESPRESSO,LUMOS KOPI SUSU SIGNATURE,,,,,,
LUMOS KOPI SUSU SIGNATURE,,,,,,,
GREENTEA MATCHA LATTE,,,,,,,
GREENTEA MATCHA LATTE,,,,,,,
CARAMEL LATTE ICE,KOREAN GARLIC BREAD,VANILLA LATTE ICE,,,,,
CHOCO LATTE,,,,
LUMOS KOPI SUSU SIGNATURE,,,,,,,
CARAMEL MACCHIATO,,,,,,,
ESPRESSO,CARAMEL MACCHIATO,LUMOS KOPI SUSU SIGNATURE,,,,,
CAFE LATTE HOT,,,,,,,
GREENTEA MATCHA LATTE,CHOCO LATTE,,,,,,
LEKKER HOLAND,REDVELVET LATTE,,,,,,
CAFE LATTE ICE,LUMOS KOPI SUSU SIGNATURE,,,,,,
LUMOS KOPI SUSU SIGNATURE,,,,,,,
REDVELVET LATTE,CAFE LATTE ICE,,,,,,
OKINAWA BROWN SUGAR BOBA MILK,KLEPON LATTE,,,,,,
KLEPON LATTE,,,,,,,
GREENTEA MATCHA LATTE,REDVELVET LATTE,,,,,,
LUMOS KOPI SUSU SIGNATURE,,,,,,,
CINNAMON ROLL,LEKKER HOLAND,LUMOS KOPI SUSU SIGNATURE,,,,,
CINNAMON ROLL,,,,,,,
LEKKER HOLAND,,,,,,,
LUMOS KOPI SUSU SIGNATURE,STRAWBERRY SPARKLING,CHOCO LATTE,,,,,
LEKKER HOLAND,,,,,,,
CARAMEL MACCHIATO,,,,,,,
KOREAN GARLIC BREAD,LUMOS KOPI SUSU SIGNATURE,CAPPUCINO HOT,,,,,
LUMOS KOPI SUSU SIGNATURE,,,,,,,
LUMOS KOPI SUSU SIGNATURE,OKINAWA BROWN SUGAR BOBA MILK,,,,,,
LUMOS KOPI SUSU SIGNATURE,,,,,,,
STRAWBERRY YAKULT,LUMOS KOPI SUSU SIGNATURE,,,,,,
KOREAN GARLIC BREAD,,,,,,,
KOREAN GARLIC BREAD,CAPPUCINO ICE,LUMOS KOPI SUSU SIGNATURE,,,,,
CAFE LATTE HOT,,,,,,,
LONG BLACK ICE,COOKIES AND CREAM LATTE,,,,,,
LEKKER HOLAND,KOREAN GARLIC BREAD,,,,,,
CAPPUCINO ICE,LUMOS KOPI SUSU SIGNATURE,,,,,,
LUMOS KOPI SUSU SIGNATURE,,,,,,,
CHOCO LATTE,,,,,,,
CHOCO LATTE,REDVELVET LATTE,,,,,,
CARAMEL MACCHIATO,LUMOS KOPI SUSU SIGNATURE,,,,,,
CARAMEL MACCHIATO,,,,,,,
CARAMEL MACCHIATO,,,,,,,
COOKIES AND CREAM LATTE,,,,,,,
LUMOS KOPI SUSU SIGNATURE,,,,,,,
KLEPON LATTE,LUMOS KOPI SUSU SIGNATURE,CHOCO LATTE,,,,,
LUMOS KOPI SUSU SIGNATURE,,,,,,,
LUMOS KOPI SUSU SIGNATURE,,,,,,,
LUMOS KOPI SUSU SIGNATURE,,,,,,,
COOKIES AND CREAM LATTE,,,,,,,
REDVELVET LATTE,LUMOS KOPI SUSU SIGNATURE,,,,,,
COOKIES AND CREAM LATTE,LUMOS KOPI SUSU SIGNATURE,AVOCADO PRESSO,,,,,
CARAMEL LATTE ICE,OKINAWA BROWN SUGAR BOBA MILK,LUMOS KOPI SUSU SIGNATURE,KOREAN GARLIC BREAD,,,,
LUMOS KOPI SUSU SIGNATURE,,,,,,,
LUMOS KOPI SUSU SIGNATURE,,,,,,,
CARAMEL MACCHIATO,LONG BLACK HOT,,,,,,
LUMOS KOPI SUSU SIGNATURE,,,,,,,
CARAMEL LATTE ICE,,,,,,,
GREENTEA MATCHA LATTE,,,,,,,
BROWN SUGAR BOBA MILK TEA,LUMOS KOPI SUSU SIGNATURE,,,,,,
AVOCADO PRESSO,LUMOS KOPI SUSU SIGNATURE,,,,,,
CAPPUCINO HOT,,,,,,,
REDVELVET LATTE,CARAMEL MACCHIATO,,,,,,
OKINAWA BROWN SUGAR BOBA MILK,LUMOS KOPI SUSU SIGNATURE,,,,,,
MANUAL BREW V60,,,,,,,
LUMOS KOPI SUSU SIGNATURE,GREENTEA MATCHA LATTE,CHOCO LATTE,,,,,
LYCHEE YAKULT,LUMOS KOPI SUSU SIGNATURE,,,,,,
BROWN SUGAR BOBA MILK TEA,,,,,,,
CHOCO LATTE,LYCHEE YAKULT,COOKIES AND CREAM LATTE,,,,,
BANANA LATTE,KLEPON LATTE,,,,,,
AVOCADO PRESSO,,,,,,,
GREENTEA MATCHA LATTE,,,,,,,
LUMOS KOPI SUSU SIGNATURE,,,,,,,
ESPRESSO,LUMOS KOPI SUSU SIGNATURE,,,,,,
LUMOS KOPI SUSU SIGNATURE,,,,,,,
AVOCADO PRESSO,LUMOS KOPI SUSU SIGNATURE,,,,,,
LUMOS KOPI SUSU SIGNATURE,,,,,,,
LUMOS KOPI SUSU SIGNATURE,,,,,,,
THAI TEA,,,,,,,
LUMOS KOPI SUSU SIGNATURE,,,,,,,
LUMOS KOPI SUSU SIGNATURE,,,,,,,
LUMOS KOPI SUSU SIGNATURE,REDVELVET LATTE,,,,,,
AVOCADO PRESSO,CAFE LATTE HOT,,,,,,
COOKIES AND CREAM LATTE,LUMOS KOPI SUSU SIGNATURE,,,,,,
LUMOS KOPI SUSU SIGNATURE,,,,,,,
CARAMEL LATTE ICE,VANILLA LATTE ICE,LUMOS KOPI SUSU SIGNATURE,LYCHEE YAKULT,,,,
LUMOS KOPI SUSU SIGNATURE,,,,,,,
LUMOS KOPI SUSU SIGNATURE,CHOCO LATTE,REDVELVET LATTE,,,,,
AVOCADO PRESSO,KOREAN GARLIC BREAD,STRAWBERRY YAKULT,REDVELVET LATTE,,,,
CAFE LATTE HOT,AVOCADO PRESSO,,,,,,
LYCHEE YAKULT,,,,,,,
LUMOS KOPI SUSU SIGNATURE,,,,,,,
CAFE LATTE ICE,LUMOS KOPI SUSU SIGNATURE,,,,,,
CAFE LATTE ICE,LUMOS KOPI SUSU SIGNATURE,COOKIES AND CREAM LATTE,,,,,
LYCHEE YAKULT,AVOCADO PRESSO,,,,,,
LUMOS KOPI SUSU SIGNATURE,,,,,,,
CHOCO LATTE,KLEPON LATTE,,,,,,
STRAWBERRY SPARKLING,,,,,,,
REDVELVET LATTE,LUMOS KOPI SUSU SIGNATURE,,,,,,
LYCHEE YAKULT,LUMOS KOPI SUSU SIGNATURE,,,,,,
CHOCO LATTE,,,,,,,
KLEPON LATTE,,,,,,,
GREENTEA MATCHA LATTE,,,,,,,
AVOCADO PRESSO,,,,,,,
LUMOS KOPI SUSU SIGNATURE,,,,,,,
CAPPUCINO HOT,LYCHEE YAKULT,,,,,,
LUMOS KOPI SUSU SIGNATURE,DURIAN PRESSO,,,,,,
COOKIES AND CREAM LATTE,KOREAN GARLIC BREAD,,,,,,
KOREAN GARLIC BREAD,REDVELVET LATTE,GREENTEA MATCHA LATTE,,,,,
CAPPUCINO ICE,,,,,,,
OKINAWA BROWN SUGAR BOBA MILK,,,,,,,
LUMOS KOPI SUSU SIGNATURE,REDVELVET LATTE,,,,,,
CAPPUCINO ICE,,,,,,,
GREENTEA MATCHA LATTE,,,,,,,
LUMOS KOPI SUSU SIGNATURE,DURIAN PRESSO,,,,,,
COOKIES AND CREAM LATTE,KOREAN GARLIC BREAD,,,,,,
